no_control,alumno,semestre,carga,carga_inscrito,promedio,carrera,,,
4000,NOMBRE4001,13,235,10,82.42,ELECTRICA,,,
4001,NOMBRE4002,3,46,27,84.33,ELECTRICA,,,
4002,NOMBRE4003,5,106,27,93.06,ELECTRICA,,,
4003,NOMBRE4004,5,111,22,90.95,ELECTRICA,,,
4004,NOMBRE4005,1,,24,0,ELECTRICA,,,
4005,NOMBRE4006,3,51,28,91.17,ELECTRICA,,,
4006,NOMBRE4007,9,213,14,84.24,ELECTRICA,,,
4007,NOMBRE4008,9,215,19,90.1,ELECTRICA,,,
4008,NOMBRE4009,1,,24,0,ELECTRICA,,,
4009,NOMBRE4010,11,204,36,77.75,ELECTRICA,,,
4010,NOMBRE4011,3,24,27,90.17,ELECTRICA,,,
4011,NOMBRE4012,1,,24,0,ELECTRICA,,,
4012,NOMBRE4013,8,182,35,78.17,ELECTRICA,,,
4013,NOMBRE4014,11,235,10,87.81,ELECTRICA,,,
4014,NOMBRE4015,9,141,20,82.36,ELECTRICA,,,
4015,NOMBRE4016,7,105,27,84.24,ELECTRICA,,,
4016,NOMBRE4017,1,,24,0,ELECTRICA,,,
4017,NOMBRE4018,3,46,27,88.5,ELECTRICA,,,
4018,NOMBRE4019,1,,24,0,ELECTRICA,,,
4019,NOMBRE4020,11,152,27,80.07,ELECTRICA,,,
4020,NOMBRE4021,1,,24,0,ELECTRICA,,,
4021,NOMBRE4022,7,164,32,90.57,ELECTRICA,,,
4022,NOMBRE4023,5,106,27,85.29,ELECTRICA,,,
4023,NOMBRE4024,1,,24,0,ELECTRICA,,,
4024,NOMBRE4025,7,97,32,84.35,ELECTRICA,,,
4025,NOMBRE4026,9,220,14,90.79,ELECTRICA,,,
4026,NOMBRE4027,5,67,27,86.36,ELECTRICA,,,
4027,NOMBRE4028,5,65,18,80.67,ELECTRICA,,,
4028,NOMBRE4029,1,,24,0,ELECTRICA,,,
4029,NOMBRE4030,9,229,5,87.83,ELECTRICA,,,
4030,NOMBRE4031,5,64,27,83,ELECTRICA,,,
4031,NOMBRE4032,9,121,32,85.54,ELECTRICA,,,
4032,NOMBRE4033,3,46,28,88,ELECTRICA,,,
4033,NOMBRE4034,7,134,32,78.63,ELECTRICA,,,
4034,NOMBRE4035,1,,24,0,ELECTRICA,,,
4035,NOMBRE4036,3,46,23,89,ELECTRICA,,,
4036,NOMBRE4037,7,145,26,84.15,ELECTRICA,,,
4037,NOMBRE4038,3,36,19,88.25,ELECTRICA,,,
4038,NOMBRE4039,1,,24,0,ELECTRICA,,,
4039,NOMBRE4040,5,106,27,90.72,ELECTRICA,,,
4040,NOMBRE4041,1,,24,0,ELECTRICA,,,
4041,NOMBRE4042,9,220,24,94.79,ELECTRICA,,,
4042,NOMBRE4043,1,,24,0,ELECTRICA,,,
4043,NOMBRE4044,1,,24,0,ELECTRICA,,,
